Abbreviation,Title,Level / Tier,Region,Scope,Cancer Type FINAL,Heme subcancers,Audience,Organizer/Society,Discipline,Typical Month,Format
AAAAI WAO,"American Academy of Allergy, Asthma & Immunology / World Allergy Organization Joint Congress",Tier 2,United States,All,All,,Specialist,,Med Onc,,In-person
AACR,American Association for Cancer Research Annual Meeting,Tier 1,United States,All,All,,Other,American Association for Cancer Research,Basic/Translational,April,Hybrid
AAD,American Academy of Dermatology Annual Meeting,Tier 2,United States,Specific,Skin Cancers,,Specialist,,Derm Onc,,In-person
AASLD,American Association for the Study of Liver Diseases (The Liver Meeting),Tier 2,United States,Specific,Liver and Bile Duct Cancers,,Specialist,,Med Onc,,In-person
ACOG,American College of Obstetricians and Gynecologists Annual Clinical & Scientific Meeting,Tier 2,United States,Specific,Gynecological Cancers,,Specialist,,Med Onc,,In-person
ACoP,American Conference on Pharmacometrics (ISoP),Tier 3,United States,All,All,,Other,,Med Onc,October/November,Hybrid
ACRO,American College of Radiation Oncology Annual Meeting,Tier 2,United States,All,All,,Specialist,American College of Radiation Oncology,Rad Onc,January/February,Hybrid
AHA,American Heart Association Scientific Sessions,Tier 2,United States,All,All,,Other,,Med Onc,,In-person
AHNS,American Head & Neck Society (at COSM),Tier 2,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,April (at COSM),In-person
AMCP,Academy of Managed Care Pharmacy Annual Meeting,Tier 2,United States,All,All,,Other,AMCP,HEOR/Market Access,March/April & October,Hybrid
APHA,American Public Health Association Annual Meeting & Expo,Tier 2,United States,All,All,,Other,APHA,Med Onc,October/November,Hybrid
ARS,American Rhinologic Society (at COSM),Tier 3,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,April (at COSM),In-person
ARVO,Association for Research in Vision and Ophthalmology Annual Meeting,Tier 2,United States,Specific,Ocular Cancers,,Specialist,,Med Onc,May,Hybrid
ASCO,American Society of Clinical Oncology Annual Meeting,Tier 1,United States,All,All,,Med Onc,American Society of Clinical Oncology,Med Onc,June,Hybrid
ASCO GI,ASCO Gastrointestinal Cancers Symposium,Tier 1,United States,Specific,Gastric (Stomach) Cancer,,Med Onc,,Med Onc,,Hybrid
