Canonical broad categories: 22
Canonical heme subs: 8
Processing 670 docs (sample=False, force=False, workers=12)
[1/670] Neumega                  (2006) Other/Unmapped       -> Other                               | heme=- (high)
[2/670] Vectibix                 (2006) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[3/670] VELCADE                  (2006) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[4/670] Zolinza                  (2006) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[5/670] Avastin                  (2006) Other/Unmapped       -> Other                               | heme=- (high)
[6/670] Gleevec                  (2006) Leukemia             -> Hematological Malignancies          | heme=- (high)
[7/670] Herceptin                (2006) Breast               -> Breast Cancer                       | heme=- (high)
[8/670] Taxotere Injection Conce (2006) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[9/670] Oncaspar                 (2006) Leukemia             -> Hematological Malignancies          | heme=- (high)
[10/670] Avastin                  (2006) Lung                 -> Lung Cancers                        | heme=- (high)
[11/670] Rituxan                  (2006) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[12/670] Gleevec                  (2006) Leukemia             -> Hematological Malignancies          | heme=- (high)
[13/670] Avastin                  (2006) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[14/670] Sprycel                  (2006) Leukemia             -> Hematological Malignancies          | heme=- (high)
[15/670] Dacogen                  (2006) Myelodysplastic Syndrome -> Hematological Malignancies          | heme=Myelodysplastic Syndromes (high)
[16/670] Gardasil                 (2006) Leukemia             -> Other                               | heme=- (high)
[17/670] Ontak                    (2006) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[18/670] Thalomid                 (2006) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[19/670] Gemzar                   (2006) Ovarian              -> Gynecological Cancers               | heme=- (high)
[20/670] Revlimid                 (2006) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[21/670] Erbitux                  (2006) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[22/670] Hycamtin                 (2006) Cervical             -> Gynecological Cancers               | heme=- (high)
[23/670] Rituxan                  (2006) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[24/670] Sprycel                  (2007) Leukemia             -> Hematological Malignancies          | heme=- (high)
[25/670] Epogen, Procrit, Aranesp (2007) Head and Neck        -> Other                               | heme=- (high)
