primary_cancer_type,row_count
Hematological Malignancies,383
Breast Cancer,353
Occult Primary,107
Lung Cancers,72
Prostate Cancer,65
Colorectal Cancer,63
Bladder Cancer,58
Adrenal Cancer and Neuroendocrine Tumors,51
Bone and Joint Cancers,50
Brain and Other Nervous System Cancers,45
Gynecological Cancers,44
Skin Cancers,26
Kidney (Renal) and Urethral Cancers,21
Gastric (Stomach) Cancer,18
Head and Neck Cancers,18
Pediatric Cancers,11
Liver and Bile Duct Cancers,10
Gestational Cancers,6
Gastrointestinal Stromal Tumors,6
Ocular Cancers,5
Esophageal Cancer,3
Soft Tissue Cancers (including Heart),3
Testicular Cancer,3
Thyroid Cancer,2
Neuroblastoma,2
Anal Cancer,1
Pancreatic Cancer,1
