Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated
NCT00493467,Lymphoma,Zevalin,93.54838709677419,3.225806451612903,,2022-09-15
NCT00420199,,Abatacept + Methotrexate,,,0.0,2012-01-18
NCT00420199,,Placebo + Methotrexate,,,0.0,2012-01-18
NCT01841632,,MultiStem - Cohort 1,100.0,100.0,,2018-08-17
NCT00837148,Sarcoma,Soft Tissue Sarcoma Patients,81.08108108108108,21.62162162162162,,2015-11-20
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm A: MK-1308 25 mg Q3W + Pembro. 200 mg Q3W,95.0,50.0,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm B: MK-1308 25 mg Q6W + Pembro. 200 mg Q3W,95.0,35.0,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm C: MK-1308 75 mg Q6W + Pembro. 200 mg Q3W,95.0,57.49999999999999,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm D: MK-1308 75 mg Q6W + Pembro. 200 mg Q3W,92.5,40.0,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm E: MK-1308 75 mg Q3W + Pembro. 200 mg Q3W,92.85714285714286,71.42857142857143,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm F: MK-1308 25 mg Q6W + Pembro. 400 mg Q6W Co-admin,91.8918918918919,27.927927927927925,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm F: MK-1308 25 mg Q6W + Pembro. 400 mg Q6W Co-admin After Crossover,80.95238095238095,19.047619047619047,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm G: MK-1308 25 mg Q6W,77.5,22.5,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm I: MK-1308A Q6W (Co-form),89.65517241379311,51.724137931034484,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm K: MK-1308A Q6W (Co-form),80.0,20.0,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Cohort 1: MK-1308 25 mg Q3W + Pembro. 200 mg Q3W,100.0,14.285714285714285,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Cohort 2: MK-1308 75 mg Q3W + Pembro. 200 mg Q3W,94.11764705882352,58.82352941176471,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Cohort 3: MK-1308 200 mg Q3W + Pembro. 200 mg Q3W,100.0,50.0,,2025-04-08
NCT02935634,,Track 1: Ipilimumab + Rucaparib,100.0,75.0,,2023-06-09
NCT02935634,,Track 1: Nivolumab + BMS-986016,100.0,75.0,,2023-06-09
NCT02935634,,Track 1: Nivolumab + BMS-986205,100.0,63.1578947368421,,2023-06-09
NCT02935634,,Track 1: Nivolumab + Ipilimumab,91.30434782608695,82.6086956521739,,2023-06-09
NCT02935634,,Track 1: Nivolumab + Ipilimumab + Rucaparib,100.0,66.66666666666666,,2023-06-09
NCT02935634,,Track 1: Nivolumab + Rucaparib,100.0,71.42857142857143,,2023-06-09
NCT02935634,,Track 2: Ipilimumab + Rucaparib,100.0,100.0,,2023-06-09
NCT02935634,,Track 2: Nivolumab + BMS-986016,94.44444444444444,66.66666666666666,,2023-06-09
NCT02935634,,Track 2: Nivolumab + BMS-986205,95.45454545454545,54.54545454545454,,2023-06-09
NCT02935634,,Track 2: Nivolumab + Ipilimumab,100.0,73.91304347826086,,2023-06-09
NCT02935634,,Track 2: Nivolumab + Ipilimumab + Rucaparib,100.0,75.0,,2023-06-09
NCT02935634,,Track 2: Nivolumab + Rucaparib,100.0,66.66666666666666,,2023-06-09
NCT00183885,"Carcinoma, Hepatocellular",Cisplatin + Mitomycin-C,98.68421052631578,67.10526315789474,,2025-10-30
NCT02825550,Liver Neoplasms,Adverse Event,0.0,0.0,,2018-08-07
NCT02157974,Fatty Liver,Control,0.0,0.0,,2024-06-04
NCT02157974,Fatty Liver,PCOS Medication Naive,0.0,0.0,,2024-06-04
NCT02157974,Fatty Liver,PCOS on COCPs,0.0,0.0,,2024-06-04
NCT02157974,Fatty Liver,PCOS on Metformin,0.0,0.0,,2024-06-04
NCT02157974,Fatty Liver,"PCOS, Medication Naive + Byetta",0.0,0.0,,2024-06-04
NCT00471497,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",All Patients,98.44497607655502,39.952153110047846,,2020-11-18
NCT00471497,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Imatinib 400 mg QD,98.21428571428571,34.285714285714285,,2020-11-18
NCT00471497,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Nilotinib 300 mg BID,98.9247311827957,40.14336917562724,,2020-11-18
NCT00471497,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Nilotinib 400 mg BID,98.19494584837545,45.48736462093863,,2020-11-18
NCT02471313,Liver Neoplasms,[18F] FMISO PET Scan,33.33333333333333,0.0,,2019-04-23
NCT00605722,Liver Neoplasms,Bevacizumab + Erlotinib,,19.0,,2014-07-14
NCT03026803,Liver Neoplasms,Oxaliplatin and Capecitabine,50.0,25.0,,2017-04-13
NCT01099631,Liver Neoplasms,Salmonella Typhimurium 10 to the 10 th - Level 6,100.0,25.0,,2020-07-20
NCT01099631,Liver Neoplasms,Salmonella Typhimurium 10 to the 5 th - Level 1,66.66666666666666,33.33333333333333,,2020-07-20
NCT01099631,Liver Neoplasms,Salmonella Typhimurium 10 to the 6 th - Level 2,66.66666666666666,33.33333333333333,,2020-07-20
NCT01099631,Liver Neoplasms,Salmonella Typhimurium 10 to the 7 th - Level 3,100.0,100.0,,2020-07-20
NCT01099631,Liver Neoplasms,Salmonella Typhimurium 10 to the 8 th - Level 4,100.0,100.0,,2020-07-20
NCT01099631,Liver Neoplasms,Salmonella Typhimurium 10 to the 9 th - Level 5,66.66666666666666,66.66666666666666,,2020-07-20
NCT00582166,"Lymphoma, Non-Hodgkin",Zevalin With Rituximab Maintenance,93.75,31.25,,2019-12-13
NCT00131937,"Lymphoma, Large-Cell, Anaplastic",Treatment (Sorafenib),100.0,64.28571428571429,,2015-09-03
NCT01114503,Graves Ophthalmopathy,Otelixizumab Cohort A1,100.0,0.0,,2020-10-30
NCT00066573,Breast Neoplasms,Anastrozole,94.2537909018356,0.186219739292365,,2023-08-25
NCT00066573,Breast Neoplasms,Exemestane,94.54932198883276,0.5051847912789151,,2023-08-25
NCT04283994,Dementia,Clinicians,0.0,0.0,,2025-06-24
NCT04283994,Dementia,EHR-based Clinician-facing Jumpstart [Family],0.0,0.0,,2025-06-24
NCT04283994,Dementia,EHR-based Clinician-facing Jumpstart [Patient],0.0,0.0,,2025-06-24
NCT04283994,Dementia,Survey-based Bi-directional Jumpstart [Family],0.0,0.0,,2025-06-24
NCT04283994,Dementia,Survey-based Bi-directional Jumpstart [Patient],0.0,0.0,,2025-06-24
NCT04283994,Dementia,Usual Care [Family],0.0,0.0,,2025-06-24
NCT04283994,Dementia,Usual Care [Patient],0.0,0.0,,2025-06-24
NCT02762266,"Carcinoma, Hepatocellular",Stereotactic Body Radiation Therapy (SBRT),100.0,16.666666666666664,,2024-03-12
